,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH,X,Y,datestring,color,REGION_NR
703,2015-01-04,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,12.5533333333333,43.4266666666667,Unknown,1,0,2015,1,1,4,6,2015-01,4834234.420182563,1408747.0063427705,2015-01-04,#1f78b4,1
702,2015-01-04,South East Asia,Singapore,Theft at sea,Tug,0,Off shore,1.3245,104.5415,Morning,1,1,2015,1,1,4,6,2015-01,11637506.546765009,147455.79930158885,2015-01-04,#fdbf6f,6
701,2015-01-04,North Africa,Libya,Other maritime risk,Crude oil tanker,0,Anchorage,32.7801163888889,22.663078333333306,Afternoon,1,1,2015,1,1,4,6,2015-01,2522842.339874735,3866154.3288363093,2015-01-04,#fdbf6f,3
700,2015-01-06,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,13.253333333333302,42.9566666666667,Afternoon,1,0,2015,1,2,6,1,2015-01,4781914.2595097255,1488689.8866776659,2015-01-06,#1f78b4,1
699,2015-01-07,West Africa,Nigeria,Kidnap/ransom at anchorage,Unknown vessel type,0,Anchorage,4.63829722222222,6.81289666666667,Unknown,1,1,2015,1,2,7,2,2015-01,758408.1877605246,516897.77341853926,2015-01-07,#fdbf6f,7
698,2015-01-08,South East Asia,Indonesia,"Failed attack, robbery",Chemical tanker,0,Anchorage,1.12166666666667,104.178333333333,Night,1,0,2015,1,2,8,3,2015-01,11597079.018358547,124871.33858829326,2015-01-08,#1f78b4,6
697,2015-01-08,South East Asia,Indonesia,Theft at sea,Tug,0,Off shore,1.19333333333333,103.64683333333299,Afternoon,1,1,2015,1,2,8,3,2015-01,11537912.709001923,132850.86422880582,2015-01-08,#fdbf6f,6
696,2015-01-09,Americas,Colombia,Theft at anchorage,General cargo vessel,0,Anchorage,10.3051666666667,-74.44766666666669,Morning,1,1,2015,1,2,9,4,2015-01,-8287476.344080703,1153401.401584217,2015-01-09,#fdbf6f,0
695,2015-01-10,South East Asia,Indonesia,"Failed attack, robbery",Gas tanker,0,Anchorage,1.08,104.181666666667,Night,1,0,2015,1,2,10,5,2015-01,11597450.083327932,120232.17013129313,2015-01-10,#1f78b4,6
694,2015-01-11,West Africa,Nigeria,Hijacking at sea,Product tanker,0,Off shore,3.7333333333333294,4.98333333333333,Unknown,1,1,2015,1,2,11,6,2015-01,554742.1291198129,415887.15782467986,2015-01-11,#fdbf6f,7
693,2015-01-12,Eastern Mediterranean,Iraq,Other maritime risk,Unknown vessel type,0,Unknown,30.030163611111107,47.933006388888906,Unknown,1,1,2015,1,3,12,0,2015-01,5335877.863401841,3507427.684006718,2015-01-12,#fdbf6f,2
692,2015-01-13,North Africa,Libya,Other maritime risk,Unknown vessel type,0,Unknown,32.3161519444444,19.9401855555556,Unknown,1,1,2015,1,3,13,1,2015-01,2219731.3023678386,3804882.404016007,2015-01-13,#fdbf6f,3
691,2015-01-14,South East Asia,Indonesia,Armed robbery at berth,Tug,0,Berth,1.03433333333333,103.90833333333299,Night,1,1,2015,1,3,14,2,2015-01,11567022.755844364,115147.71446345025,2015-01-14,#fdbf6f,6
690,2015-01-14,West Africa,Ghana,Armed robbery at sea,Bulk carrier,0,Off shore,3.4,1.35,Unknown,1,1,2015,1,3,14,2,2015-01,150281.31257091934,378708.59661392024,2015-01-14,#fdbf6f,7
689,2015-01-15,West Africa,Cote D'Ivoire,Armed robbery at anchorage,Merchant vessel,0,Anchorage,5.22762583333333,-2.0099486111111102,Night,1,1,2015,1,3,15,3,2015-01,-223746.45590953625,582745.7291715947,2015-01-15,#fdbf6f,7
688,2015-01-17,West Africa,Ghana,Anti-piracy/naval operation,Product tanker,0,Off shore,5.3,0.33333333333333304,Unknown,1,0,2015,1,3,17,5,2015-01,37106.496931091155,590836.5051985573,2015-01-17,#1f78b4,7
687,2015-01-18,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.11666666666667,103.516666666667,Morning,1,1,2015,1,3,18,6,2015-01,11523422.621950407,124314.63493414599,2015-01-18,#fdbf6f,6
686,2015-01-18,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,5.5077075,5.52818305555556,Unknown,1,1,2015,1,3,18,6,2015-01,615394.5227564481,614061.6322183493,2015-01-18,#fdbf6f,7
685,2015-01-20,South East Asia,Indonesia,Armed robbery at anchorage,Other,0,Anchorage,-4.01518222222222,106.829119444444,Night,1,1,2015,1,4,20,1,2015-01,11892163.178449307,-447334.32961543795,2015-01-20,#fdbf6f,6
684,2015-01-20,West Africa,Cote D'Ivoire,Suspicious activity at sea,Supply vessel,0,Off shore,4.065,-2.16,Unknown,1,0,2015,1,4,20,1,2015-01,-240450.10011347092,452893.8348396922,2015-01-20,#1f78b4,7
683,2015-01-21,West Africa,Liberia,Theft at berth,Product tanker,0,Berth,6.321189722222218,-9.19564111111111,Unknown,1,1,2015,1,4,21,2,2015-01,-1023654.0860065811,705103.463985536,2015-01-21,#fdbf6f,7
682,2015-01-22,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.1,103.53333333333299,Night,1,0,2015,1,4,22,3,2015-01,11525277.946796885,122458.96290223509,2015-01-22,#1f78b4,6
681,2015-01-22,West Africa,Angola,Suspicious activity at sea,Unknown vessel type,0,Unknown,-10.475,6.57166666666667,Unknown,1,0,2015,1,4,22,3,2015-01,731554.5869964632,-1172622.3406603504,2015-01-22,#1f78b4,7
680,2015-01-22,South East Asia,Indonesia,Armed robbery at anchorage,Other,0,Anchorage,-4.15666666666667,106.93,Evening,1,1,2015,1,4,22,3,2015-01,11903393.150524743,-463124.443428776,2015-01-22,#fdbf6f,6
679,2015-01-23,South East Asia,Singapore,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,1.29145944444444,103.749003333333,Unknown,1,0,2015,1,4,23,4,2015-01,11549286.221376272,143776.78282572428,2015-01-23,#1f78b4,6
678,2015-01-23,West Africa,Nigeria,"Failed attack, kidnap/ransom",Supply vessel,0,Unknown,3.5,5.56666666666667,Evening,1,0,2015,1,4,23,4,2015-01,619678.4987492232,389860.7582541955,2015-01-23,#1f78b4,7
677,2015-01-24,North Africa,Libya,Other maritime risk,Product tanker,0,Unknown,32.4772519444444,15.268981944444402,Unknown,1,1,2015,1,4,24,5,2015-01,1699735.294987239,3826121.6939072097,2015-01-24,#fdbf6f,3
675,2015-01-24,East Africa,Oman,Suspicious activity at sea,Merchant vessel,0,Off shore,24.6166666666667,57.866666666666696,Unknown,1,0,2015,1,4,24,5,2015-01,6441687.867237435,2828733.705358373,2015-01-24,#1f78b4,1
674,2015-01-25,South East Asia,Vietnam,"Failed attack, robbery",Bulk carrier,0,Anchorage,10.1781666666667,107.035333333333,Morning,1,0,2015,1,4,25,6,2015-01,11915118.80355493,1139034.9157462635,2015-01-25,#1f78b4,6
671,2015-01-28,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.04166666666667,103.65,Morning,1,1,2015,1,5,28,2,2015-01,11538265.220722806,115964.19138004247,2015-01-28,#fdbf6f,6
670,2015-01-28,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,1.32316666666667,104.20583333333299,Evening,1,1,2015,1,5,28,2,2015-01,11600140.304355362,147307.33368624627,2015-01-28,#fdbf6f,6
673,2015-01-28,West Africa,Cote D'Ivoire,"Failed attack, hijacking",Product tanker,0,Off shore,5.22,-3.9583333333333295,Night,1,0,2015,1,5,28,2,2015-01,-440639.6510567075,581893.2847827881,2015-01-28,#1f78b4,7
672,2015-01-28,South East Asia,Indonesia,Theft at sea,Container ship,0,Off shore,1.1,103.53333333333299,Night,1,1,2015,1,5,28,2,2015-01,11525277.946796885,122458.96290223509,2015-01-28,#fdbf6f,6
668,2015-01-29,South East Asia,Malaysia,Anti-piracy/naval operation,Product tanker,0,Off shore,1.7005,104.507666666667,Evening,1,0,2015,1,5,29,3,2015-01,11633740.23732654,189326.59124309008,2015-01-29,#1f78b4,6
669,2015-01-29,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,-5.98,106.918333333333,Night,1,0,2015,1,5,29,3,2015-01,11902094.423132118,-666902.4446705859,2015-01-29,#1f78b4,6
666,2015-01-30,East Africa,India,Suspicious activity at sea,Merchant vessel,0,Off shore,7.9173,77.1186333333333,Unknown,1,0,2015,1,5,30,4,2015-01,8584806.993339837,884168.0948686344,2015-01-30,#1f78b4,1
667,2015-01-30,South East Asia,Indonesia,Hijacking at sea,Product tanker,0,Off shore,1.6092625,125.299941944444,Unknown,1,1,2015,1,5,30,4,2015-01,13948325.733682247,179165.84019452232,2015-01-30,#fdbf6f,6
663,2015-01-31,West Africa,Benin,Hijacking at sea,Unknown vessel type,0,Off shore,4.7,2.5,Unknown,1,1,2015,1,5,31,5,2015-01,278298.72698318394,523789.3662539463,2015-01-31,#fdbf6f,7
660,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.225,1.225,Evening,1,1,2015,1,5,31,5,2015-01,136366.37622176015,470751.66957192356,2015-01-31,#fdbf6f,7
664,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15016666666667,103.451,Night,1,1,2015,1,5,31,5,2015-01,11516112.642054943,128044.56770688706,2015-01-31,#fdbf6f,6
662,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.45,1.9,Afternoon,1,1,2015,1,5,31,5,2015-01,211507.03250721976,495870.51551041426,2015-01-31,#fdbf6f,7
665,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15666666666667,103.45333333333299,Night,1,1,2015,1,5,31,5,2015-01,11516372.387533424,128768.29103832252,2015-01-31,#fdbf6f,6
661,2015-01-31,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,3.9166666666666696,98.7666666666667,Unknown,1,0,2015,1,5,31,5,2015-01,10994655.040682323,436341.30243088264,2015-01-31,#1f78b4,6
