,ATTACK SUCCESS
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,1
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,1
495,0
496,0
497,1
498,1
499,0
500,1
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,1
514,0
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,0
537,1
538,1
539,0
540,0
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,0
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,1
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
